Rank,Name,Revenue,Profit,Asset,Employee,Country,Shortname
1,Walmart,514405,6670,219295,2200000,U.S.,Walmart
2,Sinopec Group,414650,5845,329186,619151,China,Sinopec Group
3,Royal Dutch Shell,396556,23352,399194,81000,Netherlands,Royal Dutch Shell
4,China National Petroleum,392977,2271,601900,1382401,China,China National Petrol
5,State Grid,387056,8175,572310,917717,China,State Grid
6,Saudi Aramco,355905,110975,358873,76418,Saudi Arabia,Saudi Aramco
7,BP,303738,9383,282176,73000,Britain,BP
8,Exxon Mobil,290212,20840,346196,71000,U.S.,Exxon Mobil
9,Volkswagen,278342,14323,523672,664496,Germany,Volkswagen
10,Toyota Motor,272612,16982,469296,370870,Japan,Toyota Motor
11,Apple,265595,59531,365725,132000,U.S.,Apple
12,Berkshire Hathaway,247837,4021,707794,389000,U.S.,Berkshire Hathaway
13,Amazon,232887,10073,162648,647500,U.S.,Amazon
14,United Health Group,226247,11986,152221,300000,U.S.,United Health Group
15,Samsung Electronics,221579,39895,304165,309630,South Korea,Samsung Electronics
16,Glencore,219754,3408,128672,85504,Switzerland,Glencore
17,McKesson,214319,34,59672,70000,U.S.,McKesson
18,Daimler,197515,8555,321891,298683,Germany,Daimler
19,CVS Health,194579,-594,196456,295000,U.S.,CVS Health
20,Total,184106,11446,256762,104460,France,Total
